Ebeam,x,y,z,Q2,Pt,Asym,Estat,Erel,Eabs
160.0,0.032000,0.39,0.3800,3.27,0.1540,-0.02921140,0.0331074,0,0
160.0,0.032000,0.40,0.3700,3.27,0.2516,-0.00626201,0.0276445,0,0
160.0,0.031000,0.40,0.3700,3.29,0.3501,-0.03425550,0.0271621,0,0
160.0,0.032000,0.40,0.3700,3.34,0.4491,0.01315330,0.0274600,0,0
160.0,0.032000,0.40,0.3800,3.35,0.5485,0.02865240,0.0293800,0,0
160.0,0.031000,0.41,0.3800,3.30,0.6699,-0.03016660,0.0269026,0,0
160.0,0.031000,0.41,0.3900,3.30,0.8183,-0.02536180,0.0333085,0,0
160.0,0.030000,0.42,0.4000,3.34,1.0520,-0.08272110,0.0322142,0,0
160.0,0.028000,0.47,0.4100,3.50,1.5700,-0.13453200,0.0577192,0,0
160.0,0.006431,0.66,0.3000,1.25,0.5700,-0.02740280,0.0318560,0,0
160.0,0.010510,0.48,0.3400,1.51,0.5600,-0.01820790,0.0225739,0,0
160.0,0.016210,0.39,0.3700,1.87,0.5400,-0.01395880,0.0221894,0,0
160.0,0.025200,0.34,0.4100,2.53,0.5400,-0.00812012,0.0231455,0,0
160.0,0.039660,0.33,0.4200,3.87,0.5300,-0.10267400,0.0282364,0,0
160.0,0.062540,0.33,0.4100,6.13,0.5300,0.007922770,0.0356943,0,0
160.0,0.099930,0.32,0.4100,9.68,0.5300,0.018388900,0.0463819,0,0
160.0,0.159900,0.33,0.4000,15.8,0.5400,-0.000441373,0.0719263,0,0
160.0,0.285200,0.36,0.3700,31.4,0.5400,0.0472745,0.1281040,0,0
160.0,0.026000,0.51,0.2248,3.65,0.5100,-0.00765242,0.0230122,0,0
160.0,0.028000,0.46,0.2743,3.51,0.5300,-0.0228838,0.0241556,0,0
160.0,0.030000,0.43,0.3242,3.49,0.5400,-0.0233896,0.0256329,0,0
160.0,0.032000,0.40,0.3742,3.35,0.5600,-0.0200495,0.0296933,0,0
160.0,0.034000,0.35,0.4454,3.13,0.5600,-0.0325986,0.0250558,0,0
160.0,0.037000,0.29,0.5641,2.85,0.5700,-0.00372454,0.0290637,0,0
160.0,0.040000,0.25,0.7111,2.68,0.6000,-0.134972,0.0486860,0,0
160.0,0.039000,0.23,0.8679,2.45,0.5500,0.0993351,0.0868479,0,0
