Ebeam,x,y,z,Q2,Pt,Asym,Estat,Erel,Eabs
160.0,0.039000,0.38,0.3900,3.75,0.1543,0.013247300,0.0265984,0,0
160.0,0.039000,0.38,0.3900,3.75,0.2519,0.013321100,0.0225888,0,0
160.0,0.039000,0.37,0.3900,3.77,0.3503,-0.01048960,0.0214805,0,0
160.0,0.039000,0.37,0.4000,3.77,0.4491,0.013030300,0.0221278,0,0
160.0,0.039000,0.37,0.4100,3.76,0.5486,0.042076400,0.0235566,0,0
160.0,0.038000,0.37,0.4200,3.68,0.6703,-0.01615530,0.0218149,0,0
160.0,0.038000,0.37,0.4300,3.71,0.8192,0.021809100,0.0272697,0,0
160.0,0.037000,0.39,0.4400,3.75,1.0510,0.005492750,0.0266358,0,0
160.0,0.036000,0.44,0.4400,4.12,1.5700,0.013375300,0.0503725,0,0
160.0,0.006452,0.65,0.3000,1.24,0.57,-0.02814670,0.0300396,0,0
160.0,0.010540,0.48,0.3500,1.49,0.56,-0.00903218,0.0199115,0,0
160.0,0.016280,0.38,0.3900,1.82,0.56,0.017130400,0.0184351,0,0
160.0,0.025330,0.32,0.4400,2.39,0.55,0.038307900,0.0186406,0,0
160.0,0.039800,0.30,0.4600,3.61,0.54,0.007291830,0.0221126,0,0
160.0,0.062790,0.30,0.4500,5.74,0.54,0.012625300,0.0258059,0,0
160.0,0.100800,0.30,0.4500,9.10,0.53,-0.02217560,0.0325490,0,0
160.0,0.160800,0.30,0.4500,14.5,0.54,-0.00144420,0.0464813,0,0
160.0,0.284700,0.33,0.4400,28.7,0.56,0.015843300,0.0761992,0,0
160.0,0.028000,0.50,0.2249,3.97,0.52,0.012419000,0.0202671,0,0
160.0,0.032000,0.46,0.2747,4.00,0.52,-0.01975970,0.0209517,0,0
160.0,0.035000,0.42,0.3245,3.92,0.54,0.004052060,0.0220047,0,0
160.0,0.038000,0.38,0.3742,3.87,0.55,0.061815200,0.0240816,0,0
160.0,0.042000,0.33,0.4463,3.74,0.56,-0.00104812,0.0196406,0,0
160.0,0.046000,0.27,0.5659,3.44,0.58,0.007811930,0.0215926,0,0
160.0,0.051000,0.23,0.7142,3.25,0.62,0.002152580,0.0319870,0,0
160.0,0.052000,0.20,0.8732,2.93,0.61,0.039374800,0.0500492,0,0
