Ebeam,x,y,z,Q2,Pt,Asym,Estat,Erel,Eabs
160.0,0.03580,0.359,0.3460,3.25,0.2374,-0.0122,0.0291,0,0
160.0,0.03500,0.374,0.3550,3.33,0.4463,-0.0214,0.0306,0,0
160.0,0.03380,0.388,0.3710,3.32,0.6411,-0.0056,0.0357,0,0
160.0,0.03270,0.407,0.3880,3.39,0.8558,-0.0158,0.0459,0,0
160.0,0.03150,0.451,0.4060,3.68,1.2516,-0.1314,0.0588,0,0
160.0,0.00906,0.552,0.3410,1.44,0.5600,-0.0486,0.0305,0,0
160.0,0.02090,0.344,0.3610,2.09,0.5210,-0.0474,0.0259,0,0
160.0,0.04866,0.290,0.3830,4.23,0.4940,0.03780,0.0334,0,0
160.0,0.10022,0.290,0.3800,8.71,0.4960,0.04680,0.0734,0,0
160.0,0.19459,0.311,0.3760,18.6,0.5240,0.08100,0.0978,0,0
160.0,0.03090,0.435,0.2244,3.54,0.4790,-0.0448,0.0354,0,0
160.0,0.03330,0.397,0.2853,3.43,0.5010,-0.0092,0.0313,0,0
160.0,0.03560,0.366,0.3709,3.32,0.5320,0.01250,0.0327,0,0
160.0,0.03710,0.342,0.4802,3.13,0.5560,-0.0537,0.0410,0,0
160.0,0.03840,0.328,0.6111,3.03,0.5960,0.01600,0.0576,0,0
160.0,0.04120,0.306,0.7804,2.97,0.6330,-0.1024,0.0866,0,0
