Ebeam,x,y,z,Q2,Pt,Asym,Estat,Erel,Eabs
27.6,0.102,0.478,0.342,2.467,0.111,0.0117,0.0289,0,0.0106
27.6,0.098,0.516,0.348,2.452,0.210,0.0607,0.0316,0,0.0084
27.6,0.094,0.545,0.351,2.457,0.290,0.0190,0.0322,0,0.0066
27.6,0.086,0.576,0.354,2.361,0.370,0.0417,0.0317,0,0.0049
27.6,0.081,0.604,0.352,2.293,0.489,0.0139,0.0234,0,0.0024
27.6,0.076,0.636,0.372,2.275,0.673,0.0149,0.0269,0,0.0020
27.6,0.070,0.678,0.429,2.240,0.955,0.0433,0.0390,0,0.0077
27.6,0.035,0.715,0.339,1.289,0.507,0.0053,0.0298,0,0.0189
27.6,0.055,0.582,0.358,1.666,0.421,0.0519,0.0263,0,0.0141
27.6,0.076,0.532,0.363,2.088,0.381,0.0316,0.0307,0,0.0092
27.6,0.098,0.508,0.370,2.585,0.366,0.0294,0.0290,0,0.0040
27.6,0.133,0.489,0.370,3.375,0.363,0.0246,0.0281,0,0.0048
27.6,0.186,0.474,0.369,4.551,0.351,0.0067,0.0367,0,0.0171
27.6,0.275,0.444,0.370,6.301,0.364,0.0086,0.0524,0,0.0378
27.6,0.081,0.617,0.234,2.393,0.366,-0.0004,0.0207,0,0.0094
27.6,0.086,0.580,0.303,2.380,0.401,0.0166,0.0225,0,0.0108
27.6,0.091,0.553,0.373,2.385,0.429,0.0192,0.0259,0,0.0122
27.6,0.091,0.536,0.448,2.320,0.450,0.0621,0.0291,0,0.0137
27.6,0.091,0.534,0.523,2.294,0.463,0.0840,0.0388,0,0.0152
27.6,0.092,0.530,0.591,2.325,0.479,0.0128,0.0480,0,0.0166
27.6,0.094,0.513,0.662,2.329,0.493,0.0817,0.0665,0,0.0181
