Ebeam,x,y,z,Q2,Pt,Asym,Estat,Erel,Eabs
160.0,0.0517,0.31,0.36,3.63,0.15,0.0221,0.0057,0,0
160.0,0.0518,0.30,0.35,3.64,0.25,0.0111,0.0048,0,0
160.0,0.0513,0.30,0.36,3.64,0.35,0.0154,0.0045,0,0
160.0,0.0517,0.31,0.36,3.74,0.45,0.0248,0.0047,0,0
160.0,0.0517,0.31,0.36,3.82,0.55,0.0268,0.0052,0,0
160.0,0.0512,0.32,0.38,3.91,0.67,0.0211,0.0051,0,0
160.0,0.0505,0.33,0.40,4.04,0.82,0.0260,0.0066,0,0
160.0,0.0496,0.36,0.42,4.29,1.05,0.0289,0.0067,0,0
160.0,0.0489,0.42,0.44,5.10,1.58,0.0049,0.0130,0,0
160.0,0.0063,0.68,0.36,1.27,0.54,0.0047,0.0080,0,0
160.0,0.0105,0.50,0.37,1.55,0.53,0.0116,0.0057,0,0
160.0,0.0164,0.38,0.37,1.83,0.52,0.0109,0.0050,0,0
160.0,0.0257,0.28,0.37,2.17,0.51,0.0150,0.0042,0,0
160.0,0.0399,0.24,0.37,2.82,0.50,0.0264,0.0044,0,0
160.0,0.0629,0.23,0.37,4.34,0.50,0.0313,0.0050,0,0
160.0,0.1011,0.22,0.37,6.75,0.50,0.0256,0.0059,0,0
160.0,0.1626,0.22,0.37,10.53,0.50,0.0383,0.0073,0,0
160.0,0.2881,0.23,0.38,20.48,0.53,0.0388,0.0093,0,0
160.0,0.0495,0.33,0.22,3.83,0.46,0.0189,0.0036,0,0
160.0,0.0507,0.32,0.27,3.85,0.48,0.0100,0.0043,0,0
160.0,0.0518,0.32,0.32,3.88,0.50,0.0154,0.0050,0,0
160.0,0.0525,0.31,0.37,3.88,0.52,0.0100,0.0058,0,0
160.0,0.0531,0.31,0.45,3.87,0.55,0.0291,0.0050,0,0
160.0,0.0533,0.30,0.57,3.82,0.59,0.0363,0.0057,0,0
160.0,0.0518,0.30,0.72,3.63,0.60,0.0434,0.0081,0,0
160.0,0.0476,0.29,0.88,3.21,0.52,0.0303,0.0109,0,0
