     <bin>     <x>       <Pt>      <z>        <Q2>     <y>     <Yield>   <Astat>
     1000     0.116     0.146     0.152     1.090     0.455      166     0.231
     1001     0.095     0.257     0.136     1.203     0.624   299689     0.005
     1002     0.091     0.380     0.137     1.208     0.660  1034878     0.003
     1003     0.090     0.521     0.141     1.210     0.666  1036074     0.003
     1004     0.088     0.664     0.150     1.216     0.683   561875     0.004
     1005     0.085     0.809     0.160     1.223     0.708   187950     0.007
     1006     0.082     0.954     0.171     1.229     0.734    41546     0.015
     1007     0.078     1.100     0.180     1.233     0.767     5974     0.039
     1008     0.074     1.240     0.188     1.232     0.803      447     0.141
     1009     0.077     1.363     0.198     1.346     0.845        3     1.721
     1010     0.157     0.136     0.151     1.295     0.401     8334     0.033
     1011     0.147     0.242     0.139     1.305     0.436   249670     0.006
     1012     0.146     0.379     0.136     1.304     0.438   521245     0.004
     1013     0.144     0.515     0.145     1.312     0.447   421155     0.005
     1014     0.140     0.655     0.166     1.326     0.462   131531     0.008
     1015     0.133     0.795     0.180     1.362     0.498    16630     0.023
     1016     0.126     0.931     0.189     1.423     0.547      690     0.113
     1017     0.000     0.000     0.000     0.000     0.000        0     0.000
     1018     0.000     0.000     0.000     0.000     0.000        0     0.000
     1019     0.000     0.000     0.000     0.000     0.000        0     0.000
     1020     0.209     0.128     0.149     1.381     0.321    12317     0.027
     1021     0.207     0.240     0.137     1.379     0.324   129708     0.008
     1022     0.205     0.372     0.138     1.380     0.328   235991     0.006
     1023     0.201     0.505     0.165     1.388     0.337    94664     0.010
     1024     0.191     0.630     0.185     1.413     0.360     7065     0.035
     1025     0.000     0.000     0.000     0.000     0.000        0     0.000
     1026     0.000     0.000     0.000     0.000     0.000        0     0.000
     1027     0.000     0.000     0.000     0.000     0.000        0     0.000
     1028     0.000     0.000     0.000     0.000     0.000        0     0.000
     1029     0.000     0.000     0.000     0.000     0.000        0     0.000
     1030     0.268     0.124     0.144     1.427     0.259     8811     0.032
     1031     0.265     0.238     0.134     1.426     0.262    62224     0.012
     1032     0.259     0.360     0.153     1.430     0.268    50355     0.013
     1033     0.251     0.478     0.183     1.440     0.279     5264     0.041
     1034     0.000     0.000     0.000     0.000     0.000        0     0.000
     1035     0.000     0.000     0.000     0.000     0.000        0     0.000
     1036     0.000     0.000     0.000     0.000     0.000        0     0.000
     1037     0.000     0.000     0.000     0.000     0.000        0     0.000
     1038     0.000     0.000     0.000     0.000     0.000        0     0.000
     1039     0.000     0.000     0.000     0.000     0.000        0     0.000
     1040     0.310     0.119     0.140     1.458     0.228     1861     0.069
     1041     0.310     0.227     0.139     1.459     0.228     8004     0.033
     1042     0.308     0.338     0.170     1.461     0.230     2243     0.063
     1043     0.000     0.000     0.000     0.000     0.000        0     0.000
     1044     0.000     0.000     0.000     0.000     0.000        0     0.000
     1045     0.000     0.000     0.000     0.000     0.000        0     0.000
     1046     0.000     0.000     0.000     0.000     0.000        0     0.000
     1047     0.000     0.000     0.000     0.000     0.000        0     0.000
     1048     0.000     0.000     0.000     0.000     0.000        0     0.000
     1049     0.000     0.000     0.000     0.000     0.000        0     0.000
     1050     0.000     0.000     0.000     0.000     0.000        0     0.000
     1051     0.000     0.000     0.000     0.000     0.000        0     0.000
     1052     0.000     0.000     0.000     0.000     0.000        0     0.000
     1053     0.000     0.000     0.000     0.000     0.000        0     0.000
     1054     0.000     0.000     0.000     0.000     0.000        0     0.000
     1055     0.000     0.000     0.000     0.000     0.000        0     0.000
     1056     0.000     0.000     0.000     0.000     0.000        0     0.000
     1057     0.000     0.000     0.000     0.000     0.000        0     0.000
     1058     0.000     0.000     0.000     0.000     0.000        0     0.000
     1059     0.000     0.000     0.000     0.000     0.000        0     0.000
     1060     0.000     0.000     0.000     0.000     0.000        0     0.000
