     <bin>     <x>       <Pt>      <z>        <Q2>     <y>     <Yield>   <Astat>
     1000     0.000     0.000     0.000     0.000     0.000        0     0.000
     1001     0.082     0.259     0.173     1.241     0.743    19357     0.021
     1002     0.077     0.367     0.177     1.228     0.773    35806     0.016
     1003     0.077     0.474     0.190     1.250     0.788     4314     0.045
     1004     0.000     0.000     0.000     0.000     0.000        0     0.000
     1005     0.000     0.000     0.000     0.000     0.000        0     0.000
     1006     0.000     0.000     0.000     0.000     0.000        0     0.000
     1007     0.000     0.000     0.000     0.000     0.000        0     0.000
     1008     0.000     0.000     0.000     0.000     0.000        0     0.000
     1009     0.000     0.000     0.000     0.000     0.000        0     0.000
     1010     0.131     0.145     0.197     1.453     0.536        2     2.108
     1011     0.124     0.195     0.193     1.453     0.567       62     0.379
     1012     0.124     0.367     0.194     1.453     0.568       63     0.376
     1013     0.000     0.000     0.000     0.000     0.000        0     0.000
     1014     0.000     0.000     0.000     0.000     0.000        0     0.000
     1015     0.000     0.000     0.000     0.000     0.000        0     0.000
     1016     0.000     0.000     0.000     0.000     0.000        0     0.000
     1017     0.000     0.000     0.000     0.000     0.000        0     0.000
     1018     0.000     0.000     0.000     0.000     0.000        0     0.000
     1019     0.000     0.000     0.000     0.000     0.000        0     0.000
     1020     0.000     0.000     0.000     0.000     0.000        0     0.000
     1021     0.000     0.000     0.000     0.000     0.000        0     0.000
     1022     0.000     0.000     0.000     0.000     0.000        0     0.000
     1023     0.000     0.000     0.000     0.000     0.000        0     0.000
     1024     0.000     0.000     0.000     0.000     0.000        0     0.000
     1025     0.000     0.000     0.000     0.000     0.000        0     0.000
     1026     0.000     0.000     0.000     0.000     0.000        0     0.000
     1027     0.000     0.000     0.000     0.000     0.000        0     0.000
     1028     0.000     0.000     0.000     0.000     0.000        0     0.000
     1029     0.000     0.000     0.000     0.000     0.000        0     0.000
     1030     0.000     0.000     0.000     0.000     0.000        0     0.000
     1031     0.000     0.000     0.000     0.000     0.000        0     0.000
     1032     0.000     0.000     0.000     0.000     0.000        0     0.000
     1033     0.000     0.000     0.000     0.000     0.000        0     0.000
     1034     0.000     0.000     0.000     0.000     0.000        0     0.000
     1035     0.000     0.000     0.000     0.000     0.000        0     0.000
     1036     0.000     0.000     0.000     0.000     0.000        0     0.000
     1037     0.000     0.000     0.000     0.000     0.000        0     0.000
     1038     0.000     0.000     0.000     0.000     0.000        0     0.000
     1039     0.000     0.000     0.000     0.000     0.000        0     0.000
     1040     0.000     0.000     0.000     0.000     0.000        0     0.000
     1041     0.000     0.000     0.000     0.000     0.000        0     0.000
     1042     0.000     0.000     0.000     0.000     0.000        0     0.000
     1043     0.000     0.000     0.000     0.000     0.000        0     0.000
     1044     0.000     0.000     0.000     0.000     0.000        0     0.000
     1045     0.000     0.000     0.000     0.000     0.000        0     0.000
     1046     0.000     0.000     0.000     0.000     0.000        0     0.000
     1047     0.000     0.000     0.000     0.000     0.000        0     0.000
     1048     0.000     0.000     0.000     0.000     0.000        0     0.000
     1049     0.000     0.000     0.000     0.000     0.000        0     0.000
     1050     0.000     0.000     0.000     0.000     0.000        0     0.000
     1051     0.000     0.000     0.000     0.000     0.000        0     0.000
     1052     0.000     0.000     0.000     0.000     0.000        0     0.000
     1053     0.000     0.000     0.000     0.000     0.000        0     0.000
     1054     0.000     0.000     0.000     0.000     0.000        0     0.000
     1055     0.000     0.000     0.000     0.000     0.000        0     0.000
     1056     0.000     0.000     0.000     0.000     0.000        0     0.000
     1057     0.000     0.000     0.000     0.000     0.000        0     0.000
     1058     0.000     0.000     0.000     0.000     0.000        0     0.000
     1059     0.000     0.000     0.000     0.000     0.000        0     0.000
     1060     0.000     0.000     0.000     0.000     0.000        0     0.000
     1061     0.000     0.000     0.000     0.000     0.000        0     0.000
     1062     0.000     0.000     0.000     0.000     0.000        0     0.000
     1063     0.000     0.000     0.000     0.000     0.000        0     0.000
     1064     0.000     0.000     0.000     0.000     0.000        0     0.000
     1065     0.000     0.000     0.000     0.000     0.000        0     0.000
     1066     0.000     0.000     0.000     0.000     0.000        0     0.000
     1067     0.000     0.000     0.000     0.000     0.000        0     0.000
     1068     0.000     0.000     0.000     0.000     0.000        0     0.000
     1069     0.000     0.000     0.000     0.000     0.000        0     0.000
     1070     0.000     0.000     0.000     0.000     0.000        0     0.000
     1071     0.000     0.000     0.000     0.000     0.000        0     0.000
     1072     0.000     0.000     0.000     0.000     0.000        0     0.000
     1073     0.000     0.000     0.000     0.000     0.000        0     0.000
     1074     0.000     0.000     0.000     0.000     0.000        0     0.000
     1075     0.000     0.000     0.000     0.000     0.000        0     0.000
     1076     0.000     0.000     0.000     0.000     0.000        0     0.000
     1077     0.000     0.000     0.000     0.000     0.000        0     0.000
     1078     0.000     0.000     0.000     0.000     0.000        0     0.000
     1079     0.000     0.000     0.000     0.000     0.000        0     0.000
     1080     0.000     0.000     0.000     0.000     0.000        0     0.000
     1081     0.000     0.000     0.000     0.000     0.000        0     0.000
     1082     0.000     0.000     0.000     0.000     0.000        0     0.000
     1083     0.000     0.000     0.000     0.000     0.000        0     0.000
     1084     0.000     0.000     0.000     0.000     0.000        0     0.000
     1085     0.000     0.000     0.000     0.000     0.000        0     0.000
     1086     0.000     0.000     0.000     0.000     0.000        0     0.000
     1087     0.000     0.000     0.000     0.000     0.000        0     0.000
     1088     0.000     0.000     0.000     0.000     0.000        0     0.000
     1089     0.000     0.000     0.000     0.000     0.000        0     0.000
     1090     0.000     0.000     0.000     0.000     0.000        0     0.000
     1091     0.000     0.000     0.000     0.000     0.000        0     0.000
     1092     0.000     0.000     0.000     0.000     0.000        0     0.000
     1093     0.000     0.000     0.000     0.000     0.000        0     0.000
     1094     0.000     0.000     0.000     0.000     0.000        0     0.000
     1095     0.000     0.000     0.000     0.000     0.000        0     0.000
     1096     0.000     0.000     0.000     0.000     0.000        0     0.000
