       xmin        xmax        zmin        zmax       ptmin       ptmax          <x>       <Q^2>         <z>        <pT>        A_UT   dA_UT(Collins)            A_UT   dA_UT(Sivers)
        0.2         0.3         0.2         0.3           0         0.2      0.28343      4.7421     0.23883     0.18905   0.0078828            0.1207       -0.019952          0.12108
        0.3         0.4         0.2         0.3           0         0.2      0.36178      5.8817     0.25503      0.1761    0.010212          0.023689       -0.014552         0.023648
        0.4         0.5         0.2         0.3           0         0.2      0.45024      7.0776     0.26497     0.15951    0.012393          0.015268      -0.0085723         0.015251
        0.5         0.6         0.2         0.3           0         0.2      0.54495      8.2553     0.27207     0.14305    0.014466          0.016896      -0.0037939           0.0169
        0.6         0.7         0.2         0.3           0         0.2      0.64095      9.3889     0.27734     0.13138    0.016643          0.026317      -0.0010409         0.026359
        0.1         0.2         0.2         0.3         0.2         0.4      0.17472      3.1827     0.23564     0.35042   0.0062642         0.0077755       -0.040593        0.0077711
        0.2         0.3         0.2         0.3         0.2         0.4      0.25086      4.4157      0.2456     0.33298   0.0097511         0.0043398       -0.037226        0.0043396
        0.3         0.4         0.2         0.3         0.2         0.4      0.34616      5.8086     0.25621     0.31401    0.014954          0.004696       -0.027204        0.0046949
        0.4         0.5         0.2         0.3         0.2         0.4      0.44314      7.1107     0.26432     0.30346    0.020756         0.0063806        -0.01669        0.0063847
        0.5         0.6         0.2         0.3         0.2         0.4      0.54053      8.3335     0.27082     0.29362    0.026732          0.010621      -0.0079487         0.010634
        0.6         0.7         0.2         0.3         0.2         0.4      0.63767      9.4951     0.27607     0.28491    0.032855          0.022157      -0.0023352         0.022171
        0.1         0.2         0.2         0.3         0.4         0.6       0.1722      3.1442     0.24773     0.49031   0.0079043         0.0042295       -0.056969        0.0042284
        0.2         0.3         0.2         0.3         0.4         0.6      0.24492      4.3456      0.2537     0.48302    0.012265         0.0032465       -0.054208        0.0032458
        0.3         0.4         0.2         0.3         0.4         0.6      0.34092      5.7838     0.26224     0.47099    0.019477         0.0051788       -0.041068        0.0051791
        0.4         0.5         0.2         0.3         0.4         0.6      0.43874      7.1364     0.26892     0.46241    0.027553          0.010185       -0.025614         0.010191
        0.5         0.6         0.2         0.3         0.4         0.6       0.5378       8.394     0.27366     0.46001    0.036673          0.025576       -0.012458         0.025546
        0.6         0.7         0.2         0.3         0.4         0.6      0.63688      9.5501     0.27742     0.46073      0.0469          0.081557       -0.003705         0.081567
        0.1         0.2         0.2         0.3         0.6         0.8      0.17016      3.1133     0.26939     0.65409   0.0093022          0.008902       -0.076453        0.0088951
        0.2         0.3         0.2         0.3         0.6         0.8      0.23894      4.2782     0.27364      0.6479    0.013901         0.0087508       -0.073315        0.0087515
