       xmin        xmax        zmin        zmax       ptmin       ptmax          <x>       <Q^2>         <z>        <pT>        A_UT   dA_UT(Collins)            A_UT   dA_UT(Sivers)
        0.2         0.3         0.2         0.3           0         0.2      0.28341      4.7405     0.23957     0.18912  -0.0072748           0.12921       -0.041739          0.12892
        0.3         0.4         0.2         0.3           0         0.2      0.36208      5.8841     0.25548     0.17601  -0.0099074          0.026478       -0.034846         0.026497
        0.4         0.5         0.2         0.3           0         0.2      0.45046      7.0784     0.26543     0.15934   -0.012845          0.018319       -0.023679         0.018313
        0.5         0.6         0.2         0.3           0         0.2      0.54515      8.2545     0.27236     0.14294   -0.016392          0.022378       -0.012858         0.022382
        0.6         0.7         0.2         0.3           0         0.2      0.64112      9.3835     0.27773     0.13127   -0.021188          0.039905      -0.0054303         0.039946
        0.1         0.2         0.2         0.3         0.2         0.4      0.17494      3.1863     0.23623     0.35065  -0.0053687         0.0082757       -0.075016         0.008273
        0.2         0.3         0.2         0.3         0.2         0.4      0.25127      4.4211      0.2463     0.33304  -0.0087965         0.0046887       -0.076623        0.0046883
        0.3         0.4         0.2         0.3         0.2         0.4      0.34645      5.8109     0.25685     0.31405   -0.014353         0.0052512        -0.06436        0.0052518
        0.4         0.5         0.2         0.3         0.2         0.4      0.44332      7.1102     0.26488     0.30351   -0.021442         0.0076208       -0.045717        0.0076235
        0.5         0.6         0.2         0.3         0.2         0.4      0.54066      8.3307     0.27124     0.29363   -0.030229          0.014014        -0.02663         0.014011
        0.6         0.7         0.2         0.3         0.2         0.4      0.63787       9.492     0.27633     0.28472   -0.041695          0.033173       -0.011885         0.033191
        0.1         0.2         0.2         0.3         0.4         0.6      0.17242       3.148     0.24846     0.49056  -0.0067505         0.0045166        -0.10831        0.0045169
        0.2         0.3         0.2         0.3         0.4         0.6      0.24527      4.3504     0.25444     0.48324   -0.010975         0.0035109        -0.11349        0.0035115
        0.3         0.4         0.2         0.3         0.4         0.6      0.34121      5.7868     0.26287     0.47119   -0.018537         0.0057815       -0.098595        0.0057798
        0.4         0.5         0.2         0.3         0.4         0.6      0.43893      7.1372     0.26945      0.4625   -0.028236          0.012135        -0.07099         0.012137
        0.5         0.6         0.2         0.3         0.4         0.6      0.53806      8.3952     0.27407     0.46015    -0.04127          0.033586          -0.042         0.033573
        0.6         0.7         0.2         0.3         0.4         0.6      0.63727      9.5524     0.27806     0.46152   -0.059575            0.1209       -0.019031          0.12111
        0.1         0.2         0.2         0.3         0.6         0.8      0.17039      3.1172     0.26983     0.65429   -0.007899         0.0095258        -0.15237        0.0095201
        0.2         0.3         0.2         0.3         0.6         0.8      0.23921      4.2825     0.27406     0.64808   -0.012255         0.0094672        -0.16035        0.0094647
        0.3         0.4         0.2         0.3         0.6         0.8      0.33604      5.7828     0.27848     0.64079   -0.020667          0.025309         -0.1401         0.025295
        0.4         0.5         0.2         0.3         0.6         0.8      0.43629      7.2092     0.28152     0.63588   -0.031976          0.094641        -0.10037          0.09432
        0.3         0.4         0.3         0.4           0         0.2      0.37501      5.9165     0.33165     0.17775   -0.012723          0.063838       -0.046104         0.063754
        0.4         0.5         0.3         0.4           0         0.2      0.45694      7.0185     0.33979     0.15947   -0.015351           0.02396        -0.03101         0.024012
        0.5         0.6         0.3         0.4           0         0.2      0.54906      8.1429      0.3431     0.14081   -0.018707          0.021877        -0.01649         0.021868
        0.6         0.7         0.3         0.4           0         0.2      0.64447      9.1888     0.34435     0.12871   -0.024011          0.032061      -0.0068511         0.032062
        0.1         0.2         0.3         0.4         0.2         0.4      0.18461       3.319     0.31539      0.3808  -0.0077002          0.064175        -0.11386         0.064218
        0.2         0.3         0.3         0.4         0.2         0.4       0.2629      4.5454     0.33155     0.35558   -0.012286          0.012821         -0.1129         0.012823
        0.3         0.4         0.3         0.4         0.2         0.4       0.3521      5.8241     0.33979     0.32614   -0.018079         0.0082478       -0.090626        0.0082457
        0.4         0.5         0.3         0.4         0.2         0.4      0.44712       7.069     0.34301     0.30939    -0.02574         0.0087981       -0.061994        0.0088011
        0.5         0.6         0.3         0.4         0.2         0.4      0.54398      8.2308     0.34494     0.30109    -0.03604          0.012951       -0.035736         0.012961
        0.6         0.7         0.3         0.4         0.2         0.4      0.64089      9.3154     0.34646     0.29285   -0.049693          0.025243       -0.015886         0.025251
        0.1         0.2         0.3         0.4         0.4         0.6      0.17478      3.1825      0.3369     0.51506  -0.0086897         0.0089607        -0.15668        0.0089645
        0.2         0.3         0.3         0.4         0.4         0.6      0.25029      4.4049     0.34138     0.50199   -0.014084         0.0051685        -0.16011        0.0051673
        0.3         0.4         0.3         0.4         0.4         0.6      0.34592      5.7977     0.34471     0.49281   -0.023259         0.0060912        -0.13615        0.0060886
        0.4         0.5         0.3         0.4         0.4         0.6       0.4427      7.0947     0.34811     0.48262   -0.034639         0.0093193       -0.096659         0.009322
        0.5         0.6         0.3         0.4         0.4         0.6      0.54028      8.3101     0.35104      0.4743   -0.049277          0.018834       -0.056746         0.018819
        0.6         0.7         0.3         0.4         0.4         0.6      0.63885       9.411     0.35229     0.47148   -0.070354          0.052028       -0.025619         0.052059
        0.1         0.2         0.3         0.4         0.6         0.8      0.17265      3.1504     0.34495     0.68542  -0.0097284         0.0081619        -0.20145        0.0081644
        0.2         0.3         0.3         0.4         0.6         0.8      0.24559       4.352     0.34856      0.6779   -0.015571          0.006205        -0.20981        0.0062019
        0.3         0.4         0.3         0.4         0.6         0.8      0.34059      5.7802     0.35492     0.66662   -0.025764          0.010282        -0.18244         0.010289
        0.4         0.5         0.3         0.4         0.6         0.8      0.43883      7.1383     0.35911     0.65987   -0.039083          0.023427        -0.13148         0.023461
        0.5         0.6         0.3         0.4         0.6         0.8       0.5386      8.3879     0.36038     0.65726   -0.057059          0.072379       -0.077339         0.072478
        0.6         0.7         0.3         0.4         0.6         0.8      0.63523      9.5109     0.36058     0.65189   -0.080834           0.27835       -0.035589          0.27764
        0.1         0.2         0.3         0.4         0.8           1      0.17063      3.1204     0.36046     0.86002   -0.009986          0.017125        -0.24354          0.01712
        0.2         0.3         0.3         0.4         0.8           1       0.2395      4.2843     0.36546     0.85389   -0.015371          0.016663        -0.25717         0.016673
        0.3         0.4         0.3         0.4         0.8           1      0.33594      5.7763       0.371     0.84714   -0.025666          0.043255        -0.22659         0.043368
        0.4         0.5         0.4         0.5           0         0.2      0.46266       6.997     0.44062     0.16093   -0.017419          0.046747       -0.041274         0.046681
        0.5         0.6         0.4         0.5           0         0.2      0.55105       8.104     0.44354     0.14093   -0.020363          0.034337       -0.022266         0.034405
        0.6         0.7         0.4         0.5           0         0.2      0.64529      9.1664     0.44469      0.1292    -0.02594           0.04776      -0.0094945         0.047762
        0.2         0.3         0.4         0.5         0.2         0.4      0.27898      4.6996     0.42821     0.36984   -0.016429          0.058583        -0.15172         0.058713
        0.3         0.4         0.4         0.5         0.2         0.4      0.35858        5.85     0.43871     0.33946    -0.02167          0.017853        -0.12223         0.017882
        0.4         0.5         0.4         0.5         0.2         0.4      0.44936      7.0552     0.44289     0.31538   -0.028887           0.01441       -0.083446         0.014388
        0.5         0.6         0.4         0.5         0.2         0.4      0.54538      8.2057      0.4444     0.30566   -0.039823           0.01895        -0.04838         0.018957
        0.6         0.7         0.4         0.5         0.2         0.4      0.64203      9.2657     0.44536     0.29979   -0.055312          0.034219       -0.022021         0.034234
        0.1         0.2         0.4         0.5         0.4         0.6      0.17961      3.2526     0.42807     0.55541   -0.010937          0.032047        -0.21248         0.032053
        0.2         0.3         0.4         0.5         0.4         0.6      0.25668      4.4773     0.43833     0.52028   -0.017195          0.010996        -0.21089         0.010995
        0.3         0.4         0.4         0.5         0.4         0.6      0.34847      5.8077     0.44328     0.50071   -0.026706         0.0095889        -0.17741        0.0095883
        0.4         0.5         0.4         0.5         0.4         0.6      0.44533      7.0773     0.44507     0.49415   -0.039563           0.01232         -0.1265         0.012321
        0.5         0.6         0.4         0.5         0.4         0.6      0.54228      8.2629       0.447     0.48671   -0.055769          0.020754       -0.074925         0.020769
        0.6         0.7         0.4         0.5         0.4         0.6      0.63892      9.3731      0.4483     0.47999   -0.077827          0.047562       -0.034697         0.047531
        0.1         0.2         0.4         0.5         0.6         0.8       0.1739      3.1694     0.44191      0.6965   -0.011588          0.014031        -0.25342         0.014028
        0.2         0.3         0.4         0.5         0.6         0.8      0.24917      4.3913     0.44416     0.69105   -0.018643         0.0087747         -0.2636        0.0087738
        0.3         0.4         0.4         0.5         0.6         0.8      0.34505      5.7932     0.44655     0.68458   -0.030602          0.011065        -0.22736         0.011071
        0.4         0.5         0.4         0.5         0.6         0.8      0.44146      7.1038     0.45004     0.67553   -0.045212          0.018366        -0.16431         0.018371
        0.5         0.6         0.4         0.5         0.6         0.8       0.5394      8.3288     0.45236     0.67072   -0.064634           0.04201       -0.098305         0.041989
        0.6         0.7         0.4         0.5         0.6         0.8       0.6297      9.3975     0.45067     0.66049    -0.08822           0.13934       -0.048301          0.13943
        0.1         0.2         0.4         0.5         0.8           1      0.17269       3.151     0.44602     0.88179   -0.011976          0.017245        -0.28952         0.017217
        0.2         0.3         0.4         0.5         0.8           1      0.24569      4.3528     0.44888     0.87582   -0.018918          0.013047        -0.30336         0.013061
        0.3         0.4         0.4         0.5         0.8           1      0.34012      5.7767     0.45446     0.86595   -0.030764          0.021961        -0.26606         0.021974
        0.4         0.5         0.4         0.5         0.8           1       0.4387       7.143     0.45786      0.8607   -0.046321          0.052746         -0.1932         0.052592
        0.5         0.6         0.4         0.5         0.8           1      0.53613      8.3835     0.45841     0.85511   -0.066444           0.17783        -0.11649          0.17745
        0.1         0.2         0.4         0.5           1         1.2      0.17109      3.1276     0.45588      1.0636   -0.011438          0.036492         -0.3091          0.03649
        0.2         0.3         0.4         0.5           1         1.2      0.24028      4.2933     0.46073      1.0579   -0.017451           0.03429         -0.3271         0.034418
        0.3         0.4         0.4         0.5           1         1.2      0.33647      5.7773     0.46562      1.0515   -0.028673          0.086818        -0.28929         0.086635
        0.4         0.5         0.5         0.6           0         0.2      0.46762      6.9886     0.54166      0.1612    -0.01791          0.084754       -0.051671          0.08485
        0.5         0.6         0.5         0.6           0         0.2      0.55283       8.071     0.54415     0.14044   -0.020319          0.052794       -0.028352         0.052782
        0.6         0.7         0.5         0.6           0         0.2      0.64563      9.1461     0.54471     0.12986   -0.025755          0.069727        -0.01255          0.06983
        0.3         0.4         0.5         0.6         0.2         0.4      0.36657      5.8823     0.53842     0.34748   -0.024019          0.040097        -0.15281         0.040054
        0.4         0.5         0.5         0.6         0.2         0.4      0.45215      7.0398     0.54296     0.32073   -0.030075          0.023632        -0.10572         0.023625
        0.5         0.6         0.5         0.6         0.2         0.4       0.5462      8.1857     0.54459     0.30778   -0.040116          0.027884       -0.061979         0.027868
        0.6         0.7         0.5         0.6         0.2         0.4      0.64214      9.2409     0.54443     0.30148   -0.055337          0.048831       -0.028873          0.04884
        0.2         0.3         0.5         0.6         0.4         0.6      0.26763      4.5956      0.5357     0.53892   -0.020437          0.028459        -0.26166          0.02846
        0.3         0.4         0.5         0.6         0.4         0.6       0.3518      5.8212     0.54255     0.50842   -0.028679          0.016075        -0.21881         0.016077
        0.4         0.5         0.5         0.6         0.4         0.6      0.44665      7.0685     0.54481     0.49828   -0.041016          0.017791        -0.15712         0.017798
        0.5         0.6         0.5         0.6         0.4         0.6      0.54381      8.2299      0.5458     0.49364   -0.057779          0.027295       -0.094154         0.027263
        0.6         0.7         0.5         0.6         0.4         0.6      0.63441      9.3094     0.54373     0.48267   -0.077444          0.059587       -0.046203         0.059602
        0.1         0.2         0.5         0.6         0.6         0.8      0.17752      3.2228     0.53587     0.72378   -0.013389          0.032715        -0.30605         0.032702
        0.2         0.3         0.5         0.6         0.6         0.8      0.25241      4.4286     0.54258     0.69943    -0.02079          0.014606        -0.31504         0.014606
        0.3         0.4         0.5         0.6         0.6         0.8      0.34712      5.8002     0.54523     0.69124   -0.033141          0.015254        -0.27257          0.01526
        0.4         0.5         0.5         0.6         0.6         0.8       0.4441      7.0819     0.54688     0.68588   -0.048735          0.021554        -0.19762         0.021556
        0.5         0.6         0.5         0.6         0.6         0.8      0.54022      8.2876     0.54878     0.67789   -0.067906          0.040738        -0.12014         0.040769
        0.6         0.7         0.5         0.6         0.6         0.8         0.62      9.3662     0.53977     0.65314   -0.085745           0.14583       -0.063795          0.14645
        0.1         0.2         0.5         0.6         0.8           1       0.1735      3.1633     0.54494     0.88813   -0.013709          0.025565        -0.33288         0.025585
        0.2         0.3         0.5         0.6         0.8           1      0.24862      4.3842     0.54595     0.88519   -0.021666          0.016786        -0.34952         0.016793
        0.3         0.4         0.5         0.6         0.8           1      0.34429      5.7889     0.54823     0.87968   -0.034939          0.022239        -0.30525         0.022242
        0.4         0.5         0.5         0.6         0.8           1      0.44062      7.1104      0.5515     0.87166   -0.050948          0.039533        -0.22393         0.039435
        0.5         0.6         0.5         0.6         0.8           1      0.52904      8.2877      0.5487     0.85555    -0.06852           0.11168        -0.14267          0.11122
        0.1         0.2         0.5         0.6           1         1.2      0.17271      3.1511     0.54762      1.0789   -0.013505          0.038057        -0.33936         0.037868
        0.2         0.3         0.5         0.6           1         1.2      0.24558      4.3496      0.5498      1.0741   -0.020951          0.028842        -0.35831         0.028707
        0.3         0.4         0.5         0.6           1         1.2      0.34004      5.7791      0.5546       1.066   -0.033351          0.049244        -0.31717         0.049214
        0.5         0.6         0.6         0.7           0         0.2      0.55432      8.0429      0.6441     0.13992   -0.018689          0.079582       -0.035096         0.079329
        0.6         0.7         0.6         0.7           0         0.2      0.63566      9.0863     0.63639     0.12935   -0.022474           0.11777       -0.017249          0.11813
