       xmin        xmax        zmin        zmax       ptmin       ptmax          <x>       <Q^2>         <z>        <pT>        A_UT   dA_UT (Collins)            A_UT   dA_UT (Sivers)
        0.2         0.3        0.25        0.35           0         0.2      0.27211      3.5744     0.30881     0.17974  -0.0081313          0.037219       -0.054118         0.037216
        0.3         0.4        0.25        0.35           0         0.2      0.35232      4.4643     0.32032     0.16155   -0.010618          0.018107       -0.043192          0.01812
        0.4         0.5        0.25        0.35           0         0.2       0.4444      5.4153     0.32844     0.14318   -0.013511           0.02075       -0.028444         0.020741
        0.5         0.6        0.25        0.35           0         0.2      0.53963       6.383     0.33381     0.13121   -0.017112          0.038373       -0.015857         0.038396
        0.6         0.7        0.25        0.35           0         0.2      0.63538       7.347     0.33775     0.12448   -0.022221            0.1006      -0.0070831          0.10069
        0.1         0.2        0.25        0.35         0.2         0.4      0.17101      2.4371     0.29742     0.33841   -0.006823         0.0074665       -0.093502        0.0074659
        0.2         0.3        0.25        0.35         0.2         0.4      0.24818      3.3903     0.30743     0.31871   -0.010909         0.0051636       -0.095077        0.0051609
        0.3         0.4        0.25        0.35         0.2         0.4      0.34318      4.4435      0.3184     0.30437   -0.017397         0.0070329       -0.081139         0.007033
        0.4         0.5        0.25        0.35         0.2         0.4      0.43945      5.4403     0.32659     0.29213   -0.024923          0.013114       -0.057749         0.013116
        0.5         0.6        0.25        0.35         0.2         0.4      0.53622      6.4156     0.33243     0.28198   -0.033855          0.033392       -0.033987         0.033383
        0.6         0.7        0.25        0.35         0.2         0.4       0.6328       7.369      0.3369     0.27716   -0.046064           0.11793       -0.015802          0.11807
        0.1         0.2        0.25        0.35         0.4         0.6      0.16759      2.3971     0.30524     0.48377  -0.0086364         0.0051901        -0.13285        0.0051916
        0.2         0.3        0.25        0.35         0.4         0.6       0.2413      3.3338     0.31223      0.4721   -0.013799         0.0051603        -0.14004        0.0051606
        0.3         0.4        0.25        0.35         0.4         0.6      0.33764      4.4348     0.32116     0.46016   -0.022702          0.011266        -0.12226         0.011269
        0.4         0.5        0.25        0.35         0.4         0.6       0.4369      5.4671     0.32773     0.45825     -0.0344          0.035571       -0.089218         0.035541
        0.5         0.6        0.25        0.35         0.4         0.6      0.53623      6.4407     0.33295     0.46025    -0.04935           0.14735       -0.053812          0.14708
        0.1         0.2        0.25        0.35         0.6         0.8      0.16346      2.3491     0.32473     0.64195  -0.0098838          0.015393        -0.17866         0.015386
        0.2         0.3        0.25        0.35         0.6         0.8      0.23406      3.2818     0.32797     0.63679     -0.0152          0.023299        -0.19123         0.023307
        0.3         0.4        0.25        0.35         0.6         0.8      0.33384      4.4647     0.33206     0.63047   -0.025568           0.10845         -0.1678          0.10851
        0.2         0.3        0.35        0.45           0         0.2      0.28252      3.6102     0.38152     0.18069   -0.009974          0.081437       -0.068307          0.08132
        0.3         0.4        0.35        0.45           0         0.2      0.36021      4.4534     0.39057     0.15988   -0.012206          0.019891       -0.052547         0.019892
        0.4         0.5        0.35        0.45           0         0.2      0.45049      5.3244     0.39387     0.13861   -0.014877          0.015524       -0.033244         0.015532
        0.5         0.6        0.35        0.45           0         0.2      0.54547      6.1538     0.39621     0.12666   -0.018989          0.020651       -0.018157         0.020652
        0.6         0.7        0.35        0.45           0         0.2      0.63998      6.9662     0.39916     0.12304   -0.025358          0.038568      -0.0083144          0.03857
        0.1         0.2        0.35        0.45         0.2         0.4      0.17686      2.4997      0.3816     0.36251  -0.0087977          0.019516        -0.13159         0.019526
        0.2         0.3        0.35        0.45         0.2         0.4      0.25539      3.4398     0.39006     0.33075   -0.013489         0.0078513        -0.12686        0.0078525
        0.3         0.4        0.35        0.45         0.2         0.4       0.3483      4.4351      0.3937     0.30928    -0.02031         0.0072135        -0.10281        0.0072107
        0.4         0.5        0.35        0.45         0.2         0.4      0.44446       5.365     0.39589     0.29786   -0.028887         0.0098417        -0.07169        0.0098416
        0.5         0.6        0.35        0.45         0.2         0.4      0.54144      6.2288     0.39816     0.28755   -0.039462          0.018653       -0.041508         0.018648
        0.6         0.7        0.35        0.45         0.2         0.4      0.63762      7.0282     0.40089     0.28178   -0.054045          0.047766       -0.019138         0.047824
        0.1         0.2        0.35        0.45         0.4         0.6      0.16997       2.423      0.3926     0.50157   -0.010485         0.0071557         -0.1771         0.007156
        0.2         0.3        0.35        0.45         0.4         0.6      0.24702      3.3745     0.39527     0.49315   -0.017015         0.0053918         -0.1843        0.0053913
        0.3         0.4        0.35        0.45         0.4         0.6       0.3423      4.4278     0.39937     0.47893   -0.027124         0.0079931        -0.15722        0.0079936
        0.4         0.5        0.35        0.45         0.4         0.6      0.44001      5.4052     0.40231        0.47   -0.039838           0.01705        -0.11229         0.017051
        0.5         0.6        0.35        0.45         0.4         0.6      0.53996      6.2747     0.40309     0.46909   -0.057408          0.051853       -0.066212         0.051806
        0.6         0.7        0.35        0.45         0.4         0.6      0.62976      7.0446     0.40118     0.46093   -0.076849           0.17196       -0.032275          0.17251
        0.1         0.2        0.35        0.45         0.6         0.8      0.16721      2.3919     0.40091     0.67356   -0.011959         0.0088925         -0.2261        0.0088927
        0.2         0.3        0.35        0.45         0.6         0.8       0.2397      3.3193     0.40617      0.6629   -0.018704         0.0093697        -0.23964        0.0093738
        0.3         0.4        0.35        0.45         0.6         0.8      0.33746      4.4381     0.41117     0.65408   -0.030755          0.024293        -0.20961          0.02427
        0.4         0.5        0.35        0.45         0.6         0.8      0.43888      5.4712     0.41333     0.65006   -0.046682          0.092974         -0.1503         0.092855
        0.5         0.6        0.35        0.45         0.6         0.8      0.53741      6.3832     0.41495     0.64333   -0.066498           0.32639       -0.089543          0.32596
        0.1         0.2        0.35        0.45         0.8           1      0.16286      2.3416     0.42047      0.8454    -0.01234          0.030412        -0.26787         0.030456
        0.2         0.3        0.35        0.45         0.8           1      0.23318      3.2747     0.42418     0.84017   -0.018691          0.048751        -0.28892         0.048708
        0.3         0.4        0.45        0.55           0         0.2      0.36607      4.4622     0.49124      0.1613   -0.013431          0.036426       -0.067447         0.036422
        0.4         0.5        0.45        0.55           0         0.2       0.4523      5.3109     0.49416     0.13892   -0.015594          0.023026       -0.043002         0.023027
        0.5         0.6        0.45        0.55           0         0.2      0.54668      6.1295     0.49514     0.12759   -0.019812           0.02863       -0.023768         0.028618
